	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jul 12 22:59:25 2025

	Auto Mode
	Using maximum file size of 512000 kilobytes.
	Command line used: iozone -a -g 500m
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   809014   681644  6421025  3541098  3588436  1492919  3165299   1279447   3363612  1392258  1599680  5860307  5860307
              64       8   821391  2278628 10821524  5283570  4274062  1734015  5283570   2379626   7100397  1304314  2006158 10402178  9006179
              64      16   752329  3203069 12902017  9006179  7293312  2892445  8182586   3406295  12902017  3203069  4207076 12902017 12902017
              64      32  1083249  2772930 10821524  8182586  7100397  2444640  7940539   4274062   9318832  2662899  4564786 10402178 12902017
              64      64   821391  5860307 10402178 30484297 10402178  4564786  7100397   2203800  15972885  4274062  4018152 12902017 10821524
             128       4   895074  2035099  6406138  4596273  4407601  1911894  3380677   2166499   3657016  1618028  1663139  6114306  4135958
             128       8   998261  3277486  6045455  6406138  7082197  2784517  5545860   2905056   7476717  2905056  3053774  9129573  7082197
             128      16  1254941  4444086 15881078  6406138  8548124  2453642  3785961   4889281  12842051  2969325  3036502 14200794 15881078
             128      32   914904  5325799 11720614 11470204 18637664  5122535 10567140   5325799  15881078  6045455  6330599 15881078 14586625
             128      64   927549  6114306 15881078 14200794 18637664  3359523  5122535   4717434  20804356  5325799  3468030  9795896 25804035
             128     128  1440082  2985839  8548124 15881078 12842051  3895854 14200794   4135958  14200794  4135958  6727225 18637664 25804035
             256       4   962301  1981783  6398720  3368013  3326279  1152323  4819184   2247235   3368013  1790149  2135500  6107548  6398720
             256       8  1195962  3236056  6936061  4998665  5810112  1778290  5938650   3705040   7073132  1924938  3285566 10651598 11207494
             256      16  1347557  4572895  9518507  6398720 13625180  3545976 11569783   3511189   9518507  4496299  4496299 13454450 15164624
             256      32  1445521  5569035 12090911  7791708 11091721  2842047 15164624   6891544  12812277  3770085  3823789 10758322 21134280
             256      64  1471270  5938650 11695808  9192546 13454450  3207059 16828306   7791708  15164624  4907284  4840911 21134280 19591792
             256     128  1213534  4734192 11091721 11569783 14164395  4350555 19591792   7518900  19591792  4496299  7314033 23441229 21134280
             256     256   977189  4929815 13454450 28401588 15164624  4264168 19591792   6936061  12812277  6554972  6891544 15164624 14953435
             512       4   958781  2024389  5331314  4784885  4375425  1741948  4742616   2297251   4068701  2065273  1895721  5624545  6246213
             512       8  1216149  3259661 10434519  4827914  5624545  1689859  5453155   2438090   6736026  3122224  2509312  8265729  8265729
